8/6p1/5pk1/4p3/3pP1KP/PQ6/5P2/6r1 w - - 1 37|a1g1|Rg1+|g4f3
r1b2rk1/pp3pp1/1qp1pn1p/8/3P3B/1PPQ1N2/P4PPP/R4RK1 b - - 0 16|d1d3|Qxd3|f6d5
2kr3r/ppp2ppp/3b1n2/2q5/8/1PN1BPN1/1P3P1P/R3R1K1 b - - 2 16|c1e3|Be3|c5c6
1r4k1/1p1q1p1p/n2b1pp1/3P4/2NN4/2P5/1Q3PPP/R5K1 b - - 0 29|d2c4|Nxc4|a6c5
r4rk1/ppq1bpp1/n1ppbn1p/4p3/1PP5/P1NPP1PP/4NPB1/R1BQR1K1 b - - 0 12|d2d3|d3|d6d5
r2q1r2/ppp3k1/3p2Qp/3np2n/7N/2P4P/PP3PP1/R4RK1 b - - 0 22|g3g6|Qxg6+|g7h8
2kr3r/ppp2p2/2nbq3/3p1p2/1P3Pp1/P1PPP1P1/4B1K1/R1BQR3 b - - 0 19|h2g3|hxg3|e6h6
r1bqkbnr/pppp2pp/2n5/4p3/4P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 0 5|f6e5|fxe5|f1c4
8/pp3kpp/5n2/8/1n6/1P3NB1/1KP1PPPP/1b1r1B1R w - - 5 20|a2b1|Bb1|f3e5
r1b1k2r/pp3pbp/4p1p1/2pqn3/8/3P1NB1/PPP1B2P/R2Q1RK1 w kq - 0 16|g4e5|Nxe5|g3e5
1q3rk1/3n1ppp/Q7/R2p4/3Np3/2PnP1P1/6PP/1N4K1 w - - 1 32|d6b8|Qb8|a5b5
r4rk1/pp4p1/4p1pp/3pP2Q/8/7N/q4PPP/5bK1 w - - 0 22|f7g6|fxg6|h3f4
rnbqkb1r/pp1p1ppp/2p1p3/1B2N3/4n3/8/PPPP1PPP/RNBQK2R w KQkq - 0 5|c7c6|c6|b5c4
3r1rk1/3q1ppp/4pb2/1Np5/PpP5/1PnP1Q2/2R2PPP/5RK1 w - - 5 20|a8d8|Rad8|a4a5
r1bqkbnr/pppp1ppp/4p1n1/1B6/4P3/2N2N2/PPPP1PPP/R1BQK2R w KQkq - 4 5|e7g6|Ng6|f3e5
4r1k1/p5p1/2pb3p/2p5/8/2q1B3/P4PPP/R2Q2K1 b - - 1 24|c1e3|Be3|d6f4
r3kbnr/pp3ppp/8/2p1P3/2P5/2N1BP2/PP3P1P/3RK2R b Kkq - 0 12|g2f3|gxf3|b7b6
r1b2rk1/ppp1qppp/2p2n2/2b1N3/3PP3/2P5/PP3PPP/RNBQR1K1 b - - 0 9|d2d4|d4|c5b6
rnbqkbnr/ppp2ppp/8/3p4/8/5N2/PPPPQPPP/RNB1KB1R b KQkq - 1 4|d1e2|Qe2+|f8e7
rnbqkbnr/ppp1pppp/8/3p4/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq - 1 2|b1c3|Nc3|g8f6
